window_start,window_end,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,unique_destinations,unique_destination_ports,unique_source_ports,protocol_count,flow_duration,packets_per_second,syn_count,syn_ratio,rst_count,rst_ratio,ssh_packet_count,ssh_ratio,avg_interarrival_time,std_interarrival_time,max_packets_per_second,source_file,attack_type
2026-06-22T23:48:30+00:00,2026-06-22T23:48:37.850820065+00:00,142.250.69.78,172.16.46.135,443,35236,TCP,2,76.5,16.5,60,93,153,1,1,1,1,0.013507,2.0,0,0.0,0,0.0,0,0.0,0.013507128,0.0,2,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:36.156471968+00:00,142.251.150.119,172.16.46.135,443,38584,TCP,36,684.7777777777778,1582.4549863900133,60,8087,24652,1,1,1,1,3.89031,9.253761268382211,1,0.027777777777777776,0,0.0,0,0.0,0.11115171568571429,0.278815817805563,12,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:37.164964914+00:00,142.251.154.119,172.16.46.135,443,44412,TCP,8,133.875,127.95549763491994,60,356,1071,1,1,1,1,4.935958,1.6207593338517061,0,0.0,0,0.0,0,0.0,0.7051369802857143,1.6558660616390048,4,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:36.848984957+00:00,150.171.22.12,172.16.46.135,443,35124,TCP,9,694.8888888888889,1153.882089532206,60,3804,6254,1,1,1,1,3.3877990000000002,2.656592082351993,1,0.1111111111111111,0,0.0,0,0.0,0.423474997375,1.081350275155746,7,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.684928894+00:00,150.171.27.10,172.16.46.135,443,43936,TCP,9,1311.6666666666667,1996.941606000981,60,5054,11805,1,1,1,1,0.06325,9.0,1,0.1111111111111111,0,0.0,0,0.0,0.0079063475,0.008749629628106267,9,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:39.464831114+00:00,151.101.193.91,172.16.46.135,443,51922,TCP,29,354.58620689655174,1091.3504610230698,60,6045,10283,1,2,1,1,0.3016,29.0,1,0.034482758620689655,0,0.0,0,0.0,0.010771436357142858,0.027247397011049664,29,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.212310076+00:00,151.101.194.133,172.16.46.135,443,60818,TCP,29,4023.655172413793,9021.924992525106,60,34135,116686,1,2,1,1,0.183981,29.0,2,0.06896551724137931,0,0.0,0,0.0,0.006570756428571427,0.011243106960949555,29,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:37.982981920+00:00,151.101.195.42,172.16.46.135,443,60570,TCP,53,488.66037735849056,1259.0385811433282,60,5389,25899,1,4,1,1,0.812206,53.0,4,0.07547169811320754,0,0.0,0,0.0,0.015619346730769229,0.08773153151420168,53,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:39.840399027+00:00,172.16.46.1,224.0.0.251,5353,5353,UDP,6,180.33333333333334,29.853345243409862,160,246,1082,1,1,1,1,1.080467,5.553154330488575,0,0.0,0,0.0,0,0.0,0.21609358800000003,0.05855052452890074,4,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:39.608923912+00:00,172.16.46.135,151.101.195.42,55626,443,TCP,613,419.3344208809135,975.8614117866452,54,13042,257052,30,3,110,2,7.380369,83.05817771442051,34,0.05546492659053834,12,0.01957585644371941,0,0.0,0.012059427944444446,0.061569709491341364,289,normal_01.pcap,normal
